DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
30-Jun-24,JUN,FY_24,CHILLER ,CHILLER 10T,100%
30-Jun-24,JUN,FY_24,CHILLER ,CHILLER 15T NO.1,100%
30-Jun-24,JUN,FY_24,CHILLER ,CHILLER 15T NO.2,100%
30-Jun-24,JUN,FY_24,DURA,DURA_TURN,100%
30-Jun-24,JUN,FY_24,DURA,DURA_DIM,100%
30-Jun-24,JUN,FY_24,DURA,DURA_LIGHT,75%
30-Jun-24,JUN,FY_24,DURA,DURA_STOP,0%
30-Jun-24,JUN,FY_24,DURA,DURA_DOOR,0%
30-Jun-24,JUN,FY_24,DURA,DURA_STEER,100%
30-Jun-24,JUN,FY_24,DURA,DURA_BUTTON,0%
31-Jul-24,JUL,FY_24,TE,TE1,32%
31-Jul-24,JUL,FY_24,TE,TE2,48%
31-Jul-24,JUL,FY_24,TE,TE3,55%
31-Jul-24,JUL,FY_24,TE,TE4,40%
31-Jul-24,JUL,FY_24,TS,TS1,99%
31-Jul-24,JUL,FY_24,TS,TS2,0%
31-Jul-24,JUL,FY_24,TS,TS3,0%
31-Jul-24,JUL,FY_24,TS,TS4,99%
31-Jul-24,JUL,FY_24,TH,TH1,19%
31-Jul-24,JUL,FY_24,TH,TH2,45%
31-Jul-24,JUL,FY_24,TH,TH4,44%
31-Jul-24,JUL,FY_24,TH,TH5,27%
31-Jul-24,JUL,FY_24,TENSILE,TENSILE,2%
31-Jul-24,JUL,FY_24,VI,VI,27%
31-Jul-24,JUL,FY_24,CMM,CMM,5%
31-Jul-24,JUL,FY_24,CHILLER ,CHILLER 10T,19%
31-Jul-24,JUL,FY_24,CHILLER ,CHILLER 15T NO.1,25%
31-Jul-24,JUL,FY_24,CHILLER ,CHILLER 15T NO.2,100%
31-Jul-24,JUL,FY_24,DURA,DURA_TURN,100%
31-Jul-24,JUL,FY_24,DURA,DURA_DIM,100%
31-Jul-24,JUL,FY_24,DURA,DURA_LIGHT,0%
31-Jul-24,JUL,FY_24,DURA,DURA_STOP,0%
31-Jul-24,JUL,FY_24,DURA,DURA_DOOR,0%
31-Jul-24,JUL,FY_24,DURA,DURA_STEER,0%
31-Jul-24,JUL,FY_24,DURA,DURA_BUTTON,0%
31-Aug-24,AUG,FY_24,TE,TE1,33%
31-Aug-24,AUG,FY_24,TE,TE2,29%
31-Aug-24,AUG,FY_24,TE,TE3,42%
31-Aug-24,AUG,FY_24,TE,TE4,55%
31-Aug-24,AUG,FY_24,TS,TS1,92%
31-Aug-24,AUG,FY_24,TS,TS2,0%
31-Aug-24,AUG,FY_24,TS,TS3,0%
31-Aug-24,AUG,FY_24,TS,TS4,92%
31-Aug-24,AUG,FY_24,TH,TH1,10%
31-Aug-24,AUG,FY_24,TH,TH2,62%
31-Aug-24,AUG,FY_24,TH,TH4,100%
31-Aug-24,AUG,FY_24,TH,TH5,64%
31-Aug-24,AUG,FY_24,TENSILE,TENSILE,0%
31-Aug-24,AUG,FY_24,VI,VI,34%
31-Aug-24,AUG,FY_24,CMM,CMM,2%
31-Aug-24,AUG,FY_24,CHILLER ,CHILLER 10T,10%
31-Aug-24,AUG,FY_24,CHILLER ,CHILLER 15T NO.1,100%
31-Aug-24,AUG,FY_24,CHILLER ,CHILLER 15T NO.2,100%
31-Aug-24,AUG,FY_24,DURA,DURA_TURN,100%
31-Aug-24,AUG,FY_24,DURA,DURA_DIM,100%
31-Aug-24,AUG,FY_24,DURA,DURA_LIGHT,25%
31-Aug-24,AUG,FY_24,DURA,DURA_STOP,0%
31-Aug-24,AUG,FY_24,DURA,DURA_DOOR,0%
31-Aug-24,AUG,FY_24,DURA,DURA_STEER,0%
31-Aug-24,AUG,FY_24,DURA,DURA_BUTTON,0%
30-Sep-24,SEP,FY_24,TE,TE1,39%
30-Sep-24,SEP,FY_24,TE,TE2,31%
30-Sep-24,SEP,FY_24,TE,TE3,41%
30-Sep-24,SEP,FY_24,TE,TE4,41%
30-Sep-24,SEP,FY_24,TS,TS1,100%
30-Sep-24,SEP,FY_24,TS,TS2,0%
30-Sep-24,SEP,FY_24,TS,TS3,0%
30-Sep-24,SEP,FY_24,TS,TS4,100%
30-Sep-24,SEP,FY_24,TH,TH1,2%
30-Sep-24,SEP,FY_24,TH,TH2,48%
30-Sep-24,SEP,FY_24,TH,TH4,67%
30-Sep-24,SEP,FY_24,TH,TH5,63%
30-Sep-24,SEP,FY_24,TENSILE,TENSILE,3%
30-Sep-24,SEP,FY_24,VI,VI,4%
30-Sep-24,SEP,FY_24,CMM,CMM,1%
30-Sep-24,SEP,FY_24,CHILLER ,CHILLER 10T,2%
30-Sep-24,SEP,FY_24,CHILLER ,CHILLER 15T NO.1,100%
30-Sep-24,SEP,FY_24,CHILLER ,CHILLER 15T NO.2,100%
30-Sep-24,SEP,FY_24,DURA,DURA_TURN,25%
30-Sep-24,SEP,FY_24,DURA,DURA_DIM,25%
30-Sep-24,SEP,FY_24,DURA,DURA_LIGHT,25%
30-Sep-24,SEP,FY_24,DURA,DURA_STOP,0%
30-Sep-24,SEP,FY_24,DURA,DURA_DOOR,0%
30-Sep-24,SEP,FY_24,DURA,DURA_STEER,0%
30-Sep-24,SEP,FY_24,DURA,DURA_BUTTON,0%
31-Oct-24,OCT,FY_24,TE,TE1,45%
31-Oct-24,OCT,FY_24,TE,TE2,57%
